,agent,,,,,,,,
assignment,1,2,3,4,5,6,7,8,
1,2980.232931,3798.307318,1475.209173,3988.044083,1661.896107,4399.78379,1051.46748,1049.034643,
2,2298.845313,3139.92411,1106.010524,3309.005731,1307.573366,3714.364314,1401.933479,447.3100555,
3,2923.325001,3951.303816,1302.775421,3897.660839,1685.803381,4551.22483,905.9304689,1038.874392,
4,2852.110195,3953.197827,1558.166208,3824.420008,1980.813964,4524.147706,738.1017296,969.8273359,
5,3124.642598,3947.582141,1529.537276,4108.657366,1717.717362,4548.344121,929.6363298,1194.786114,
6,3114.984641,4031.449885,1936.904687,4123.206943,2178.879938,4601.872778,719.8961693,1185.373058,
7,3450.576685,4324.938859,1842.070279,4425.548353,2065.536134,4925.220461,636.4251655,1565.910865,
8,3446.107735,4392.376994,1834.545719,4420.766823,2133.139384,4992.346527,578.0651687,1561.642497,
,,,,,,,,,
,,,,,,,,,
agent,1,2,3,4,5,6,7,8,
assignment,2,6,3,4,5,8,1,7,
cost,2298.845313,4031.449885,1302.775421,3824.420008,1717.717362,4992.346527,1051.46748,1565.910865,20784.93286
